,Description,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid,Data.Calories
328,"Infant formula, liquid concentrate, made with baby water (Similac Isomil Soy)",6.73,1.58,3.53,65.01
329,"Infant formula, powder, made with tap water (Similac Isomil Soy)",6.73,1.58,3.53,65.01
330,"Infant formula, powder, made with plain bottled water (Similac Isomil Soy)",6.73,1.58,3.53,65.01
331,"Infant formula, powder, made with baby water (Similac Isomil Soy)",6.73,1.58,3.53,65.01
332,"Infant formula, NS as to form (Similac Expert Care for Diarrhea)",6.67,1.76,3.6,66.12
333,"Infant formula, ready-to-feed (Similac Expert Care for Diarrhea)",6.67,1.76,3.6,66.12
334,"Infant formula, NS as to form (Gerber Good Start Soy)",7.27,1.63,3.35,65.75
335,"Infant formula, ready-to-feed (Gerber Good Start Soy)",7.27,1.63,3.35,65.75
336,"Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Soy)",7.27,1.63,3.35,65.75
337,"Infant formula, powder, made with water, NFS (Gerber Good Start Soy)",7.27,1.63,3.35,65.75
338,"Infant formula, liquid concentrate, made with tap water (Gerber Good Start Soy)",7.27,1.63,3.35,65.75
339,"Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Soy)",7.27,1.63,3.35,65.75
340,"Infant formula, liquid concentrate, made with baby water (Gerber Good Start Soy)",7.27,1.63,3.35,65.75
341,"Infant formula, powder, made with tap water (Gerber Good Start Soy)",7.27,1.63,3.35,65.75
342,"Infant formula, powder, made with plain bottled water (Gerber Good Start Soy)",7.27,1.63,3.35,65.75
343,"Infant formula, powder, made with baby water (Gerber Good Start Soy)",7.27,1.63,3.35,65.75
344,"Infant formula, NS as to form (Gerber Graduates Soy)",7.15,1.84,3.28,65.48
345,"Infant formula, NS as to form (Store Brand Soy)",6.79,1.6,3.51,65.15
346,"Infant formula, ready-to-feed (Store brand Soy)",6.79,1.6,3.51,65.15
347,"Infant formula, liquid concentrate, made with water, NFS (Store Brand Soy)",6.79,1.6,3.51,65.15
348,"Infant formula, powder, made with water, NFS (Store Brand Soy)",6.79,1.6,3.51,65.15
349,"Infant formula, powder, made with tap water (Store Brand Soy)",6.79,1.6,3.51,65.15
350,"Infant formula, powder, made with plain bottled water (Store Brand Soy)",6.79,1.6,3.51,65.15
351,"Infant formula, powder, made with baby water (Store Brand Soy)",6.79,1.6,3.51,65.15
352,"Infant formula, NS as to form (Enfamil Nutramigen)",6.6,1.8,3.36,63.84
353,"Infant formula, ready-to-feed (Enfamil Nutramigen)",6.6,1.8,3.36,63.84
354,"Infant formula, liquid concentrate, made with water, NFS (Enfamil Nutramigen)",6.6,1.8,3.36,63.84
355,"Infant formula, powder, made with water, NFS (Enfamil Nutramigen)",6.6,1.8,3.36,63.84
356,"Infant formula, NS as to form (PurAmino)",6.6,1.81,3.36,63.88
357,"Infant formula, powder, made with water, NFS (PurAmino)",6.6,1.81,3.36,63.88
358,"Infant formula, NS as to form (Enfamil Pregestimil)",6.83,1.81,3.62,67.14
359,"Infant formula, ready-to-feed (Enfamil Pregestimil)",6.83,1.81,3.62,67.14
360,"Infant formula, powder, made with water, NFS (Enfamil Pregestimil)",6.83,1.81,3.62,67.14
361,"Infant formula, ready-to-feed, low iron (Enfamil Premature 20 Cal)",7.21,1.97,3.34,66.78
362,"Infant formula, ready-to-feed, with iron (Enfamil Premature 20 Cal)",7.21,1.97,3.34,66.78
363,"Milk, dry, not reconstituted, NS as to fat content",51.98,36.16,0.77,359.49
364,"Milk, dry, not reconstituted, whole",38.42,26.32,26.71,499.35
365,"Milk, dry, not reconstituted, low fat (1%)",51.46,35.8,1.75,364.79
366,"Milk, dry, not reconstituted, fat free (skim)",51.98,36.16,0.77,359.49
367,"Whey, sweet, dry",74.46,12.93,1.07,359.19
368,"Cocoa powder, not reconstituted",57.9,19.6,13.7,433.3
369,"Chocolate beverage powder, dry mix, not reconstituted",90.28,4.55,2.27,399.75
370,"Chocolate beverage powder, light, dry mix, not reconstituted",68.31,9.09,4.5,350.1
371,"Milk, malted, dry mix, not reconstituted",92.96,0.0,0.0,371.84
372,"Strawberry beverage powder, dry mix, not reconstituted",99.1,0.1,0.2,398.6
373,"Cream, NS as to light, heavy, or half and half",4.3,3.13,11.5,133.22
374,"Cream, light",3.66,2.96,19.1,198.38
375,"Cream, half and half",4.3,3.13,11.5,133.22
376,"Cream, half and half, flavored",4.5,3.07,11.28,131.8
377,"Cream, half and half, fat free",9.0,2.6,1.4,59.0
378,"Cream, heavy",2.84,2.84,36.08,347.44
379,"Cream, whipped",8.59,2.67,33.94,350.5
380,"Coffee creamer, NFS",11.38,1.0,9.97,139.25
381,"Coffee creamer, liquid",11.38,1.0,9.97,139.25
382,"Coffee creamer, liquid, flavored",35.07,0.69,13.5,264.54
383,"Coffee creamer, liquid, fat free",9.1,0.8,3.5,71.1
384,"Coffee creamer, liquid, fat free, flavored",31.72,0.6,2.7,153.58
385,"Coffee creamer, liquid, fat free, sugar free, flavored",9.1,0.8,3.5,71.1
386,"Coffee creamer, liquid, sugar free, flavored",9.1,0.8,3.5,71.1
387,"Coffee creamer, powder",59.29,2.48,32.92,543.36
388,"Coffee creamer, powder, flavored",75.42,0.68,21.47,497.63
389,"Coffee creamer, powder, fat free",73.4,1.9,15.7,442.5
390,"Coffee creamer,powder, fat free, flavored",73.4,1.9,15.7,442.5
391,"Coffee creamer,powder, sugar free, flavored",59.29,2.48,32.92,543.36
392,"Coffee creamer, soy, liquid",11.38,1.0,9.97,139.25
393,Whipped topping,23.05,1.25,25.31,324.99
394,"Whipped topping, fat free",23.6,3.0,13.1,224.3
395,"Whipped topping, sugar free",23.6,3.0,13.1,224.3
396,"Sour cream, regular",4.63,2.44,19.35,202.43
397,"Sour cream, light",7.1,3.5,10.6,137.8
398,"Sour cream, fat free",15.6,3.1,0.0,74.8
399,"Sour cream, imitation",6.63,2.4,19.52,211.8
400,"Dip, NFS",3.49,2.24,45.84,435.48
401,"Chipotle dip, regular",2.7,1.69,45.74,429.22
402,"Chipotle dip, light",13.2,1.82,15.15,196.43
403,"Dill dip, regular",3.12,1.92,45.78,432.18
404,"Dill dip, light",13.6,2.04,15.19,199.27
405,"Onion dip, regular",3.57,1.91,36.27,348.35
406,"Onion dip, light",11.88,2.0,12.34,166.58
407,"Ranch dip, regular",3.49,2.24,45.84,435.48
408,"Ranch dip, light",13.95,2.35,15.25,202.45
409,"Spinach dip, regular",3.1,2.11,36.33,347.81
410,"Spinach dip, light",11.42,2.2,12.39,165.99
411,"Vegetable dip, regular",3.12,1.92,45.78,432.18
412,"Vegetable dip, light",13.6,2.04,15.19,199.27
413,"Ice cream, NFS",26.36,3.57,11.3,221.42
414,"Ice cream, vanilla",23.6,3.5,11.0,207.4
415,"Ice cream, vanilla, with additional ingredients",30.51,3.67,11.76,242.56
416,"Ice cream, chocolate",28.2,3.8,11.0,227.0
417,"Ice cream, chocolate, with additional ingredients",34.39,3.93,11.76,259.12
418,"Ice cream, soft serve, vanilla",29.46,4.78,4.83,180.43
419,"Ice cream, soft serve, chocolate",25.7,5.0,7.19,187.51
420,"Gelato, vanilla",22.29,3.5,16.2,248.96
421,"Gelato, chocolate",19.78,4.72,16.98,250.82
422,"Ice cream bar, vanilla",37.12,2.11,25.26,384.26
423,"Ice cream bar, vanilla, chocolate coated",24.5,4.1,24.1,331.3
424,Ice cream candy bar,30.9,4.4,20.2,323.0
425,"Ice cream bar, chocolate",25.17,4.41,23.89,333.33
426,"Ice cream sandwich, vanilla",35.88,4.28,11.8,266.84
427,"Ice cream sandwich, chocolate",39.33,4.5,11.8,281.52
428,Ice cream cookie sandwich,43.35,4.61,14.11,318.83
429,"Ice cream cone, scooped, vanilla",25.82,3.68,10.84,215.56
430,"Ice cream cone, scooped, vanilla, waffle cone",27.16,3.76,10.58,218.9
431,"Ice cream cone, NFS",28.47,3.75,11.13,229.05
432,"Ice cream cone, scooped, chocolate",30.23,3.97,10.84,234.36
433,"Ice cream cone, scooped, chocolate, waffle cone",31.49,4.04,10.58,237.34
434,"Ice cream cone, soft serve, vanilla",31.44,4.91,4.91,189.59
435,"Ice cream cone, soft serve, chocolate",27.83,5.12,7.18,196.42
436,"Ice cream cone, soft serve, vanilla, waffle cone",32.67,4.96,4.77,193.45
437,"Ice cream cone, soft serve, chocolate, waffle cone",29.14,5.17,6.99,200.15
438,"Ice cream cone, vanilla, prepackaged",34.38,5.21,21.88,355.28
439,"Ice cream cone, chocolate, prepackaged",34.62,5.35,21.8,356.08
440,"Ice cream soda, flavors other than chocolate",14.02,0.92,2.9,85.86
441,"Ice cream soda, chocolate",15.23,1.0,2.9,91.02
442,"Ice cream sundae, NFS",31.92,3.72,11.17,243.09
443,"Ice cream sundae, fruit topping",32.67,2.74,9.22,224.62
444,Banana split,32.53,2.53,6.9,202.34
445,"Ice cream sundae, hot fudge topping",31.92,3.72,11.17,243.09
446,"Ice cream sundae, caramel topping",30.61,2.97,9.19,217.03
447,"Ice cream, fried",32.77,3.94,15.16,283.28
448,"Light ice cream, NFS",25.44,4.38,6.14,174.54
449,"Light ice cream, vanilla",25.44,4.38,6.14,174.54
450,"Light ice cream, chocolate",26.24,4.27,6.46,180.18
451,"Soft serve, blended with candy or cookies, from fast food",26.18,4.0,6.06,175.26
452,"Light ice cream sandwich, vanilla",37.26,4.93,8.15,242.11
453,"Light ice cream sandwich, chocolate",37.86,4.85,8.4,246.44
454,"Light ice cream bar, vanilla",18.76,3.23,16.65,237.81
455,"Light ice cream bar, vanilla, chocolate coated",19.15,3.39,16.62,239.74
456,"Light ice cream bar, chocolate",19.74,3.31,16.86,243.94
457,Creamsicle,32.75,1.54,3.08,164.88
458,"Creamsicle, light",11.66,1.1,0.0,51.04
459,Fudgesicle,29.99,2.56,3.67,163.23
460,"Light ice cream cone, vanilla, prepackaged",34.23,5.41,7.3,224.26
461,"Light ice cream cone, chocolate, prepackaged",34.87,5.32,7.56,228.8
462,"Sherbet, all flavors",30.4,1.1,2.0,144.0
463,"Fudgesicle, light",23.11,3.67,1.87,123.95
464,"Pudding, chocolate, NFS",23.01,2.09,4.6,141.8
465,"Pudding, bread",23.52,5.63,4.71,158.99
466,"Pudding, flavors other than chocolate, NFS",22.6,1.45,3.78,130.22
467,Custard,10.96,5.11,3.43,95.15
468,Flan,28.18,5.27,4.83,177.27
469,Creme brulee,17.87,4.08,2.66,111.74
470,"Pudding, rice",18.39,3.23,2.15,105.83
471,"Firni, Indian pudding",25.17,3.58,3.1,142.9
472,"Pudding, tapioca, made from dry mix",21.69,1.95,3.88,129.48
473,"Pudding, flavors other than chocolate, made from dry mix",19.42,2.79,1.76,104.68
474,"Pudding, chocolate, made from dry mix",20.35,3.14,1.98,111.78
475,"Pudding, flavors other than chocolate, made from dry mix, sugar free",9.56,3.19,1.93,68.37
476,"Pudding, chocolate, made from dry mix, sugar free",10.51,3.49,2.02,74.18
477,"Pudding, flavors other than chocolate, ready-to-eat",22.6,1.45,3.78,130.22
478,"Pudding, flavors other than chocolate, ready-to-eat, sugar free",9.56,3.19,1.93,68.37
479,"Pudding, chocolate, ready-to-eat",23.01,2.09,4.6,141.8
480,"Pudding, chocolate, ready-to-eat, sugar free",10.51,3.49,2.02,74.18
481,"Pudding, tapioca, ready-to-eat",21.69,1.95,3.88,129.48
482,Banana pudding,27.94,2.68,4.23,160.55
483,Mousse,16.25,4.36,14.96,217.08
484,"Milk dessert or milk candy, Puerto Rican style",55.35,6.84,7.35,314.91
485,"Barfi or Burfi, Indian dessert",40.46,5.41,11.34,285.54
486,Trifle,23.24,3.53,7.1,170.98
487,Tiramisu,29.59,5.9,24.29,360.57
488,"Custard pudding, flavor other than chocolate, baby food, NS as to strained or junior",16.79,1.68,1.49,87.29
489,"Custard pudding, baby food, flavor other than chocolate, strained",16.0,1.6,2.0,88.4
490,"Custard pudding, baby food, flavor other than chocolate, junior",17.58,1.76,0.98,86.18
491,White sauce or gravy,9.19,3.81,9.96,141.64
492,"Cheese, NFS",5.0,20.42,29.62,368.26
493,"Cheese, Blue or Roquefort",2.34,21.4,28.74,353.62
494,"Cheese, Brick",2.79,23.24,29.68,371.24
495,"Cheese, Camembert",0.46,19.8,24.26,299.38
496,"Cheese, Brie",0.45,20.75,27.68,333.92
497,"Cheese, Cheddar",2.44,23.3,34.0,408.96
498,"Cheese, Cheddar, reduced fat",2.67,27.35,20.41,303.77
499,"Cheese, Cheddar, nonfat or fat free",7.14,32.14,0.0,157.12
500,"Cheese, Colby",2.57,23.76,32.11,394.31
501,"Cheese, Colby Jack",1.62,24.12,31.2,383.76
502,"Cheese, Feta",3.88,14.21,21.49,265.77
503,"Cheese, Fontina",1.55,25.6,31.14,388.86
504,"Cheese, goat",0.12,21.58,29.84,355.36
505,"Cheese, Gouda or Edam",2.22,24.94,27.44,355.6
506,"Cheese, Gruyere",0.36,29.81,32.34,411.74
507,"Cheese, Limburger",0.49,20.05,27.25,327.41
508,"Cheese, Monterey",0.68,24.48,30.28,373.16
509,"Cheese, Monterey, reduced fat",0.7,28.2,21.6,310.0
510,"Cheese, Mozzarella, NFS",4.44,23.7,20.4,296.16
511,"Cheese, Mozzarella, part skim",4.44,23.7,20.4,296.16
512,"Cheese, Mozzarella, reduced sodium",3.1,27.5,17.1,276.3
513,"Cheese, Mozzarella, nonfat or fat free",3.5,31.7,0.0,140.8
514,"Cheese, Muenster",1.12,23.41,30.04,368.48
515,"Cheese, Muenster, reduced fat",3.5,24.7,17.6,271.2
516,"Cheese, Parmesan, dry grated",12.4,29.6,28.0,420.0
517,"Cheese, Parmesan, dry grated, reduced fat",26.2,34.8,16.5,392.5
518,"Cheese, Parmesan, hard",12.4,29.6,28.0,420.0
519,"Cheese, Parmesan, dry grated, fat free",40.0,40.0,5.0,365.0
520,"Cheese, Port du Salut",2.22,24.94,27.44,355.6
521,"Cheese, Provolone",2.14,25.58,26.62,350.46
522,"Cheese, provolone, reduced fat",3.5,24.7,17.6,271.2
523,"Cheese, Swiss",1.44,27.0,31.0,392.76
524,"Cheese, Swiss, reduced sodium",3.4,28.4,27.4,373.8
525,"Cheese, Swiss, reduced fat",3.4,28.4,5.1,173.1
526,"Cheese, Swiss, nonfat or fat free",3.4,28.4,0.0,127.2
527,"Cheese, Cheddar, reduced sodium",1.91,24.35,32.62,398.62
528,"Cheese, Mexican blend",1.75,23.54,28.51,357.75
529,"Cheese, Mexican blend, reduced fat",3.41,24.69,19.4,287.0
530,"Queso Anejo, aged Mexican cheese",4.63,21.44,29.98,374.1
531,Queso Asadero,2.87,22.6,28.26,356.22
532,Queso Fresco,2.98,18.09,23.82,298.66
533,Queso cotija,3.97,20.0,30.0,365.88
534,"Cheese, cottage, NFS",4.31,11.0,2.3,81.94
535,"Cheese, cottage, creamed, large or small curd",3.38,11.12,4.3,96.7
536,"Cottage cheese, farmer's",3.18,10.49,9.8,142.88
537,"Cheese, Ricotta",6.0,9.6,9.46,147.54
538,"Cheese, cottage, with fruit",4.94,9.41,1.96,75.04
539,"Cheese, cottage, with vegetables",5.63,9.78,1.98,79.46
540,"Cheese, cottage, dry curd",6.66,10.34,0.29,70.61
541,"Cheese, cottage, salted, dry curd",6.59,10.24,0.29,69.93
542,Puerto Rican white cheese,2.98,18.09,23.82,298.66
543,"Cheese, cottage, low fat",4.31,11.0,2.3,81.94
544,"Cheese, cottage, lowfat, with fruit",9.99,7.32,1.54,83.1
545,"Cheese, cottage, lowfat, low sodium",2.7,12.4,1.0,69.4
546,"Cheese, cottage, lowfat, lactose reduced",4.31,11.0,2.3,81.94
547,"Cream cheese, regular, plain",5.52,6.15,34.44,356.64
548,"Cream cheese, regular, flavored",16.39,7.11,13.87,218.83
549,"Cream cheese, light",8.13,7.85,15.28,201.44
550,"Cheese, American and Swiss blends",5.27,18.0,30.6,368.48
551,"Cheese, American",8.85,16.09,23.06,307.3
552,"Cheese, American, reduced fat",10.6,17.6,14.1,239.7
553,"Cheese, American, nonfat or fat free",10.53,21.05,0.0,126.32
554,"Cheese, American, reduced sodium",1.6,22.2,31.19,375.91
555,"Cheese spread, American or Cheddar cheese base, reduced fat",10.71,13.41,8.88,176.4
556,"Cream cheese spread, fat free",7.66,15.69,1.0,102.4
557,"Cheese, processed cheese food",8.85,16.09,23.06,307.3
558,"Cheese, processed, with vegetables",3.91,14.3,32.13,362.01
559,"Cheese,  with wine",8.85,16.09,23.06,307.3
560,"Cheese spread, American or Cheddar cheese base",8.73,16.41,21.23,291.63
561,"Cheese spread, Swiss cheese base",8.73,16.41,21.23,291.63
562,"Cheese spread, cream cheese, regular",3.5,7.1,28.6,299.8
563,"Cheese spread, cream cheese, light",8.13,7.85,15.28,201.44
564,"Cheese spread, pressurized can",8.73,16.41,21.23,291.63
565,Imitation cheese,1.0,25.0,32.0,392.0
566,"Cheese, cottage cheese, with gelatin dessert",8.37,6.55,2.32,80.56
567,"Cheese, cottage cheese, with gelatin dessert and fruit",9.41,5.11,1.77,74.01
568,"Cheese, cottage cheese, with gelatin dessert and vegetables",6.27,7.71,2.85,81.57
569,Cheese ball,5.57,18.09,38.06,437.18
570,Artichoke dip,5.47,3.65,33.12,334.56
571,Spinach and artichoke dip,4.76,4.0,33.21,333.93
572,Seafood dip,3.89,5.97,33.25,338.69
573,Cheese dip with chili pepper,11.14,3.14,9.51,142.71
574,Cheese dip,7.66,3.24,13.02,160.78
575,Topping from cheese pizza,7.62,16.86,14.67,229.95
576,Topping from vegetable pizza,12.18,15.59,15.61,251.57
577,Topping from meat pizza,5.65,19.19,24.52,320.04
578,Topping from meat and vegetable pizza,7.66,17.55,22.03,299.11
579,Cheese fondue,1.93,19.31,21.2,275.76
580,Cheese souffle,6.29,9.45,15.7,204.26
581,Welsh rarebit,6.33,7.49,12.12,164.36
582,"Cheese sandwich, NFS",32.58,12.17,11.61,283.49
583,"Cheese sandwich, American cheese, on white bread, no spread",32.58,12.17,11.61,283.49
584,"Cheese sandwich, American cheese, on wheat bread, no spread",30.36,13.33,11.83,281.23
585,"Cheese sandwich, American cheese, on whole wheat bread, no spread",30.36,13.33,11.83,281.23
586,"Cheese sandwich, Cheddar cheese, on white bread, no spread",29.95,15.14,16.11,325.35
587,"Cheese sandwich, Cheddar cheese, on wheat bread, no spread",27.72,16.3,16.34,323.14
588,"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread",27.72,16.3,16.34,323.14
589,"Cheese sandwich, reduced fat American cheese, on white bread, no spread",33.31,12.79,7.92,255.68
590,"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread",31.08,13.95,8.14,253.38
591,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread",31.08,13.95,8.14,253.38
592,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, no spread",30.04,16.81,10.52,282.08
593,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, no spread",27.82,17.97,10.74,279.82
594,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, no spread",27.82,17.97,10.74,279.82
595,"Cheese sandwich, American cheese, on white bread, with mayonnaise",28.72,10.82,19.24,331.32
596,"Cheese sandwich, American cheese, on wheat bread, with mayonnaise",26.77,11.84,19.44,329.4
597,"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise",26.77,11.84,19.44,329.4
598,"Cheese sandwich, Cheddar cheese, on white bread, with mayonnaise",26.4,13.43,23.2,368.12
599,"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise",24.45,14.45,23.4,366.2
600,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise",24.45,14.45,23.4,366.2
601,"Cheese sandwich, reduced fat American cheese, on white bread, with mayonnaise",29.36,11.37,16.0,306.92
602,"Cheese sandwich, reduced fat American cheese,, on wheat bread, with mayonnaise",27.4,12.38,16.2,304.92
603,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with mayonnaise",27.4,12.38,16.2,304.92
604,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with mayonnaise",26.48,14.9,18.28,330.04
605,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with mayonnaise",24.53,15.92,18.48,328.12
606,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with mayonnaise",24.53,15.92,18.48,328.12
607,"Cheese sandwich, American cheese, on white bread, with butter",28.7,10.77,19.22,330.86
608,"Cheese sandwich, American cheese, on wheat bread, with butter",26.74,11.79,19.42,328.9
609,"Cheese sandwich, American cheese, on whole wheat bread, with butter",26.74,11.79,19.42,328.9
610,"Cheese sandwich, Cheddar cheese, on white bread, with butter",26.38,13.38,23.18,367.66
611,"Cheese sandwich, Cheddar cheese, on wheat bread, with butter",24.42,14.4,23.38,365.7
612,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with butter",24.42,14.4,23.38,365.7
613,"Cheese sandwich, reduced fat American cheese, on white bread, with butter",29.33,11.32,15.98,306.42
614,"Cheese sandwich, reduced fat American cheese, on wheat bread, with butter",27.38,12.34,16.18,304.5
615,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with butter",27.38,12.34,16.18,304.5
