,Сливочное масло с солью,717,0.85,81.11,0.06
363,"Детское питание, ужин, паста с овощами, овощи",60,1.7,2.1,8.4
364,"Детское питание, ужин, овощное, овощи с лапшой и индейкой, протертые",44,1.2,1.2,6.8
365,"Детское питание, ужин, овощное, овощи с лапшой и индейкой, детское",52,1.8,1.5,7.6
366,"Детское питание, ужин, индейка с рисом в процеженном виде",52,2.27,1.24,7.94
367,"Детское питание, ужин, индейка с рисом, детское питание для детей младшего возраста",56,2.37,0.92,9.57
368,"Детское питание, ужин, овощное, протертые овощи и индейка",48,2.32,0.9,7.62
369,"Детское питание, ужин, овощное, с овощами и индейкой, детское",53,1.72,1.74,7.55
370,"Детское питание, ужин, макароны с сыром, протертые",67,3.14,2.11,8.95
371,"Детское питание, ужин, макароны с сыром, детское питание",61,2.6,2.0,8.2
372,"Детское питание, овощное, овощи, зеленая фасоль, протертая",27,1.2,0.17,6.29
373,"Детское питание, овощное, овощи, зеленая фасоль, детское питание",24,1.2,0.1,5.8
374,"Детское питание, зеленая фасоль, кубики, для малышей",29,1.2,0.2,5.7
375,"Детское питание, овощи, стручковая фасоль и картофель",62,2.2,1.9,9.0
376,"Детское питание, овощное, овощи, свекла протертая",34,1.3,0.1,7.7
377,"Детское питание, овощное, протертые овощи, морковь",26,0.8,0.1,6.0
378,"Детское питание, овощное, овощи, морковь, юниорское",32,0.8,0.2,7.2
379,"Детское питание, овощное, овощи, кабачки, протертые",28,0.81,0.2,5.73
380,"Детское питание, овощное, овощи, кабачки, детское",24,0.81,0.2,5.73
381,"Детское питание, овощное, овощи, сладкий картофель, протертый",57,1.1,0.1,13.2
382,"Детское питание, овощное, овощи, сладкий картофель, младший",60,1.1,0.1,14.0
383,"Детское питание, картофель, для малышей",52,1.0,0.1,11.73
384,"Детское питание, овощи, кабачки с орехами и кукуруза",50,2.0,0.6,9.26
385,"Детское питание, яблоки, кубики, малыш",51,0.2,0.1,12.1
386,"Детское питание, фрукты, яблочное пюре протертое",41,0.2,0.2,10.8
387,"Детское питание, фрукты, яблочное пюре, детское",37,0.0,0.0,10.3
388,"Детское питание, фрукты, абрикос с тапиокой, процеженный",60,0.3,0.0,16.3
389,"Детское питание, растительное, овощи, кукуруза, взбитые, процеженные",57,1.4,0.4,14.1
390,"Детское питание, овощное, овощи, кукуруза, со сливками, детское",65,1.4,0.4,16.25
391,"Детское питание, овощное, горошек протертый",50,3.27,0.43,8.36
392,"Детское питание, горошек, кубики, для малышей",64,3.9,0.8,10.3
393,"Детское питание, овощное, овощи, шпинат, взбитые, протертые",37,2.5,1.3,5.7
394,"Детское питание, фрукты, абрикос с тапиокой, молодое",63,0.3,0.0,17.3
395,"Детское питание, фрукты, бананы с тапиокой, протертые",56,0.4,0.1,15.3
396,"Детское питание, фрукты, персики протертые",65,0.94,0.33,14.48
397,"Детское питание, фрукты, персики, детское питание",65,0.94,0.33,14.48
398,"Детское питание, фрукты, груши протертые",42,0.3,0.2,10.8
399,"Детское питание, фрукты, груши, детское питание для детей младшего возраста",44,0.3,0.1,11.6
400,"Детское питание, фрукты, сливы с тапиокой, без витамина С, протертые",71,0.1,0.0,19.7
401,"Детское питание, фрукты, сливы с тапиокой, без витамина С, детское",74,0.1,0.0,20.5
402,"Детское питание, фрукты, чернослив с тапиокой, без витамина С, процеженный",69,0.6,0.1,18.5
403,"Детское питание, фрукты, чернослив с тапиокой, без витамина С, детское",70,0.6,0.1,18.7
404,"Детское питание, чернослив, без витамина С, процеженный",100,1.0,0.2,23.52
405,"Детское питание, фруктовый десерт, десерты, манго с тапиокой",70,0.3,0.2,19.0
406,"Детское питание, груши, кубики, для малышей",57,0.3,0.1,13.6
407,"Детское питание, фрукты, яблочное пюре и абрикосы протертые",44,0.2,0.2,11.64
408,"Детское питание, фрукты, яблочное пюре и абрикосы, детское",47,0.2,0.2,12.4
409,"Детское питание, фрукты, яблочное пюре и вишня протертые",51,0.0,0.0,14.1
